"subject","stress_level","financial_issues","academic_performance","subject_career_choice"
"Physical science","To a large extent","Sometimes","Fairly often","Almost never"
"Life sciences","Somewhat","Almost never","Fairly often","Almost never"
"Life sciences","To a large extent","Very often","Fairly often","Very often"
"Life sciences","To a large extent","Never","Fairly often","Very often"
"Psychology","To a large extent","Never","Almost never","Fairly often"
"Life sciences","To a large extent","Never","Fairly often","Almost never"
"Life sciences","To a large extent","Sometimes","Fairly often","Sometimes"
"Clinical, pre-clinical and health","Somewhat","Sometimes","Sometimes","Sometimes"
"Psychology","Somewhat","Fairly often","Sometimes","Sometimes"
"Social sciences","To a large extent","Fairly often","Very often","Very often"
"Other","To a large extent","Almost never","Fairly often","Almost never"
"Social sciences","Completely","Almost never","Fairly often","Never"
"Arts and humanities","To a large extent","Very often","Sometimes","Sometimes"
"Arts and humanities","To a large extent","Very often","Very often","Sometimes"
"Life sciences","To a large extent","Never","Sometimes","Fairly often"
"Arts and humanities","To a large extent","Very often","Fairly often","Fairly often"
"Arts and humanities","To a large extent","Fairly often","Fairly often","Fairly often"
"Arts and humanities","Somewhat","Very often","Fairly often","Fairly often"
"Arts and humanities","To a small extent","Sometimes","Fairly often","Fairly often"
"Physical science","Completely","Never","Very often","Fairly often"
"Social sciences","Completely","Fairly often","Very often","Very often"
"Other","Completely","Sometimes","Sometimes","Sometimes"
"Life sciences","To a large extent","Almost never","Very often","Fairly often"
"Life sciences","To a large extent","Never","Sometimes","Almost never"
"Arts and humanities","Completely","Very often","Very often","Very often"
"Arts and humanities","Somewhat","Almost never","Sometimes","Never"
"Life sciences","To a large extent","Almost never","Very often","Very often"
"Clinical, pre-clinical and health","To a large extent","Never","Almost never","Fairly often"
"Life sciences","To a large extent","Sometimes","Very often","Very often"
"Computer science","To a large extent","Never","Never","Almost never"
"Physical science","To a large extent","Almost never","Fairly often","Sometimes"
"Life sciences","To a large extent","Sometimes","Sometimes","Almost never"
"Life sciences","To a large extent","Sometimes","Fairly often","Fairly often"
"Other","Somewhat","Never","Fairly often","Sometimes"
"Arts and humanities","To a large extent","Fairly often","Very often","Sometimes"
"Other","Completely","Sometimes","Very often","Almost never"
"Life sciences","To a large extent","Sometimes","Sometimes","Never"
"Life sciences","Completely","Sometimes","Very often","Very often"
"Life sciences","Somewhat","Never","Sometimes","Sometimes"
"Engineering and technology","To a large extent","Fairly often","Very often","Fairly often"
"Clinical, pre-clinical and health","Completely","Sometimes","Very often","Very often"
"Psychology","Completely","Never","Sometimes","Never"
"Other","Somewhat","Very often","Fairly often","Fairly often"
"Other","Completely","Fairly often","Very often","Fairly often"
"Other","To a large extent","Never","Very often","Very often"
"Psychology","Completely","Sometimes","Very often","Fairly often"
"Life sciences","Somewhat","Fairly often","Sometimes","Sometimes"
"Life sciences","To a large extent","Very often","Fairly often","Fairly often"
"Life sciences","To a large extent","Sometimes","Fairly often","Fairly often"
"Social sciences","To a large extent","Sometimes","Almost never","Sometimes"
"Physical science","Somewhat","Sometimes","Fairly often","Fairly often"
"Psychology","To a large extent","Very often","Sometimes","Fairly often"
"Life sciences","Somewhat","Never","Almost never","Almost never"
"Arts and humanities","Completely","Sometimes","Very often","Very often"
"Other","To a large extent","Almost never","Sometimes","Almost never"
"Arts and humanities","To a large extent","Almost never","Fairly often","Fairly often"
"Life sciences","To a large extent","Sometimes","Fairly often","Fairly often"
"Life sciences","Somewhat","Almost never","Fairly often","Almost never"
"Life sciences","To a large extent","Almost never","Very often","Fairly often"
"Psychology","To a large extent","Sometimes","Fairly often","Fairly often"
"Life sciences","Somewhat","Sometimes","Fairly often","Fairly often"
"Life sciences","To a large extent","Sometimes","Very often","Fairly often"
"Psychology","To a large extent","Very often","Fairly often","Almost never"
"Arts and humanities","Somewhat","Sometimes","Very often","Sometimes"
"Life sciences","To a large extent","Sometimes","Very often","Very often"
"Other","Completely","Fairly often","Fairly often","Fairly often"
"Life sciences","Completely","Sometimes","Very often","Very often"
"Clinical, pre-clinical and health","Somewhat","Fairly often","Fairly often","Fairly often"
"Life sciences","To a large extent","Sometimes","Fairly often","Never"
"Life sciences","To a large extent","Very often","Very often","Sometimes"
"Arts and humanities","To a large extent","Fairly often","Very often","Sometimes"
"Other","To a large extent","Almost never","Sometimes","Almost never"
"Psychology","To a large extent","Never","Very often","Fairly often"
"Life sciences","To a large extent","Never","Almost never","Sometimes"
"Law","Completely","Very often","Fairly often","Very often"
"Education","Completely","Very often","Fairly often","Sometimes"
"Life sciences","To a large extent","Sometimes","Sometimes","Never"
"Life sciences","Somewhat","Sometimes","Fairly often","Fairly often"
"Psychology","To a small extent","Sometimes","Sometimes","Never"
"Other","Somewhat","Sometimes","Sometimes","Sometimes"
"Arts and humanities","To a large extent","Fairly often","Very often","Very often"
"Life sciences","To a large extent","Almost never","Fairly often","Fairly often"
"Life sciences","To a large extent","Sometimes","Fairly often","Sometimes"
"Life sciences","Completely","Very often","Very often","Fairly often"
"Education","To a large extent","Almost never","Sometimes","Sometimes"
"Education","To a large extent","Sometimes","Very often","Very often"
"Life sciences","To a large extent","Never","Very often","Very often"
"Law","To a large extent","Almost never","Almost never","Never"
"Clinical, pre-clinical and health","To a large extent","Very often","Almost never","Sometimes"
"Life sciences","To a large extent","Never","Sometimes","Sometimes"
"Law","To a large extent","Never","Very often","Very often"
"Arts and humanities","To a large extent","Fairly often","Sometimes","Almost never"
"Social sciences","To a large extent","Very often","Very often","Very often"
"Life sciences","Somewhat","Sometimes","Sometimes","Sometimes"
"Social sciences","Somewhat","Fairly often","Sometimes","Sometimes"
"Engineering and technology","To a large extent","Sometimes","Fairly often","Almost never"
"Physical science","Somewhat","Almost never","Almost never","Almost never"
"Life sciences","To a large extent","Fairly often","Fairly often","Almost never"
"Arts and humanities","Completely","Never","Sometimes","Almost never"
"Arts and humanities","To a large extent","Very often","Very often","Very often"
"Life sciences","To a large extent","Very often","Very often","Very often"
"Clinical, pre-clinical and health","To a large extent","Sometimes","Sometimes","Almost never"
"Life sciences","To a large extent","Sometimes","Fairly often","Fairly often"
"Arts and humanities","Somewhat","Almost never","Sometimes","Never"
"Law","Somewhat","Almost never","Almost never","Almost never"
"Psychology","To a large extent","Very often","Very often","Very often"
"Psychology","To a large extent","Never","Never","Never"
"Life sciences","Completely","Sometimes","Very often","Sometimes"
"Psychology","Somewhat","Almost never","Fairly often","Almost never"
"Law","To a large extent","Sometimes","Sometimes","Almost never"
"Arts and humanities","To a large extent","Never","Fairly often","Almost never"
"Psychology","Somewhat","Very often","Sometimes","Sometimes"
"Life sciences","To a large extent","Almost never","Very often","Sometimes"
"Life sciences","To a large extent","Fairly often","Very often","Sometimes"
"Psychology","Somewhat","Fairly often","Very often","Sometimes"
"Life sciences","To a large extent","Almost never","Very often","Fairly often"
"Arts and humanities","Completely","Very often","Very often","Fairly often"
"Clinical, pre-clinical and health","Somewhat","Sometimes","Very often","Very often"
"Social sciences","To a large extent","Almost never","Fairly often","Sometimes"
"Life sciences","To a large extent","Fairly often","Fairly often","Sometimes"
"Arts and humanities","Completely","Very often","Very often","Very often"
"Life sciences","To a large extent","Very often","Very often","Fairly often"
"Clinical, pre-clinical and health","Somewhat","Sometimes","Very often","Fairly often"
"Arts and humanities","Completely","Very often","Fairly often","Fairly often"
"Life sciences","To a large extent","Almost never","Very often","Sometimes"
"Life sciences","Completely","Sometimes","Very often","Sometimes"
"Social sciences","Somewhat","Sometimes","Fairly often","Almost never"
"Arts and humanities","To a large extent","Sometimes","Fairly often","Sometimes"
"Life sciences","To a large extent","Almost never","Sometimes","Never"
"Life sciences","To a large extent","Almost never","Very often","Very often"
"Life sciences","Completely","Sometimes","Fairly often","Fairly often"
"Social sciences","To a large extent","Never","Fairly often","Never"
"Clinical, pre-clinical and health","To a large extent","Never","Sometimes","Almost never"
"Life sciences","Completely","Sometimes","Very often","Very often"
"Life sciences","Somewhat","Fairly often","Fairly often","Almost never"
"Life sciences","Somewhat","Sometimes","Almost never","Never"
"Clinical, pre-clinical and health","To a large extent","Never","Fairly often","Sometimes"
"Social sciences","Somewhat","Almost never","Very often","Very often"
"Computer science","Somewhat","Never","Sometimes","Fairly often"
"Life sciences","Somewhat","Almost never","Very often","Almost never"
"Physical science","Somewhat","Almost never","Sometimes","Almost never"
"Psychology","Somewhat","Almost never","Almost never","Sometimes"
"Arts and humanities","To a large extent","Never","Fairly often","Fairly often"
"Life sciences","Somewhat","Sometimes","Fairly often","Very often"
"Arts and humanities","Somewhat","Fairly often","Sometimes","Sometimes"
"Arts and humanities","To a large extent","Fairly often","Very often","Very often"
"Computer science","To a large extent","Fairly often","Very often","Very often"
"Physical science","Somewhat","Sometimes","Almost never","Almost never"
"Computer science","To a large extent","Sometimes","Sometimes","Sometimes"
"Arts and humanities","To a large extent","Sometimes","Sometimes","Sometimes"
"Physical science","Completely","Almost never","Very often","Very often"
"Psychology","Somewhat","Fairly often","Never","Sometimes"
"Arts and humanities","To a large extent","Almost never","Almost never","Almost never"
"Other","Somewhat","Fairly often","Sometimes","Almost never"
"Arts and humanities","To a small extent","Never","Fairly often","Fairly often"
"Engineering and technology","Somewhat","Sometimes","Sometimes","Sometimes"
"Arts and humanities","Somewhat","Sometimes","Fairly often","Almost never"
"Life sciences","To a large extent","Never","Fairly often","Fairly often"
"Life sciences","Somewhat","Never","Fairly often","Fairly often"
"Social sciences","To a large extent","Sometimes","Fairly often","Sometimes"
"Life sciences","To a large extent","Almost never","Fairly often","Very often"
"Life sciences","To a large extent","Very often","Very often","Very often"
"Physical science","Somewhat","Sometimes","Almost never","Almost never"
"Life sciences","Completely","Sometimes","Sometimes","Never"
"Computer science","To a large extent","Never","Fairly often","Never"
"Life sciences","Completely","Almost never","Sometimes","Sometimes"
"Life sciences","To a large extent","Very often","Almost never","Never"
"Life sciences","To a large extent","Never","Fairly often","Fairly often"
"Other","To a large extent","Sometimes","Very often","Sometimes"
"Computer science","Somewhat","Never","Never","Never"
"Life sciences","To a large extent","Sometimes","Very often","Very often"
"Clinical, pre-clinical and health","Somewhat","Fairly often","Never","Never"
"Arts and humanities","To a small extent","Sometimes","Sometimes","Never"
"Engineering and technology","To a large extent","Never","Very often","Almost never"
"Arts and humanities","To a large extent","Sometimes","Fairly often","Fairly often"
"Life sciences","To a large extent","Very often","Very often","Very often"
"Arts and humanities","To a large extent","Very often","Very often","Very often"
"Life sciences","To a large extent","Almost never","Very often","Almost never"
"Life sciences","To a small extent","Sometimes","Sometimes","Sometimes"
"Life sciences","Completely","Very often","Fairly often","Fairly often"
"Social sciences","To a small extent","Sometimes","Almost never","Sometimes"
"Life sciences","Somewhat","Fairly often","Fairly often","Very often"
"Law","To a large extent","Fairly often","Fairly often","Very often"
"Arts and humanities","To a large extent","Very often","Sometimes","Sometimes"
